kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3206,KABUPATEN TASIKMALAYA,KAB,2025,5.0,0,0,0,5603,7,9,90,1220,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2008,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2009,3.0,1,0,0,0,0,0,0,798,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2010,9.0,0,0,171,20,3,0,136,1477,2,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2011,3.0,3,13,13,2846,52,9,139,88,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2012,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2013,4.0,1,0,1,2500,343,193,77,70,7,3,0,1,0
3207,KABUPATEN CIAMIS,KAB,2014,8.0,0,0,5,57,431,23,51,25,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2016,4.0,0,0,0,200,0,0,5,1340,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2017,4.0,0,0,0,287,1,0,0,67,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2020,10.0,2,0,0,22193,0,0,0,4883,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2021,9.0,0,0,0,2529,1,1,55,693,0,0,0,0,1
3207,KABUPATEN CIAMIS,KAB,2022,6.0,2,1,0,986,1,1,5,114,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2023,3.0,0,0,0,198,0,0,0,58,1,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2024,3.0,0,0,0,1782,0,0,0,515,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2025,8.0,0,0,0,4670,0,0,0,1134,0,0,0,0,0
3207,KABUPATEN CIAMIS,KAB,2026,2.0,0,0,0,1087,0,0,0,18,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2008,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2009,2.0,0,0,0,0,19,0,4,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2010,6.0,0,0,0,0,0,0,0,120,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2011,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2012,2.0,2,0,0,0,16,0,112,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2013,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2014,6.0,0,0,0,0,0,2,20,39,1,1,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2015,2.0,0,0,0,4,0,0,1,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2016,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2017,2.0,0,0,48,7266,0,0,0,2660,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2019,4.0,0,0,0,95,1,0,17,10,0,0,1,0,0
3208,KABUPATEN KUNINGAN,KAB,2020,6.0,0,0,0,156,0,3,3,94,0,0,0,0,1
3208,KABUPATEN KUNINGAN,KAB,2021,3.0,0,0,0,15,0,0,0,6,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2022,6.0,0,0,0,425,0,1,0,562,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2023,2.0,0,0,0,156,0,0,2,49,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2024,2.0,0,0,0,3023,3,3,1,838,0,1,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2025,4.0,0,0,0,1156,0,0,0,193,0,0,0,0,0
3208,KABUPATEN KUNINGAN,KAB,2026,1.0,0,0,0,250,0,0,0,50,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2008,2.0,0,0,2279,190,9,0,3,3000,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2009,2.0,0,0,0,0,0,0,0,350,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2010,7.0,0,0,0,0,0,0,0,1285,2,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2011,3.0,0,0,0,0,0,0,0,457,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2012,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2013,2.0,1,0,0,500,0,0,11,1027,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2014,15.0,0,0,0,9365,0,0,60,9240,4,2,0,0,0
3209,KABUPATEN CIREBON,KAB,2015,1.0,0,0,0,70,0,0,0,0,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2016,4.0,0,0,0,202,11,0,0,1908,2,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2017,5.0,1,0,0,51557,0,0,0,13054,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2018,8.0,3,0,0,56765,1,0,243,21263,31,38,0,1,0
3209,KABUPATEN CIREBON,KAB,2019,11.0,0,0,0,19363,0,0,0,4257,3,8,0,0,0
3209,KABUPATEN CIREBON,KAB,2020,22.0,0,0,0,97928,1,0,2,26526,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2021,8.0,0,0,0,49740,0,0,0,13476,4,2,0,0,1
3209,KABUPATEN CIREBON,KAB,2022,16.0,0,0,0,82378,0,1,1,19781,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2023,8.0,0,0,0,31352,0,0,1,10996,20,21,0,0,0
3209,KABUPATEN CIREBON,KAB,2024,13.0,2,0,0,209250,0,0,0,54314,0,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2025,14.0,0,0,8,59694,4,2,20,15659,1,0,0,0,0
3209,KABUPATEN CIREBON,KAB,2026,5.0,0,0,0,17631,0,0,0,5035,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2008,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2009,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2010,2.0,0,0,1,0,4,1,19,325,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2012,2.0,0,0,0,1695,0,0,0,399,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2013,1.0,0,0,0,0,0,0,0,6,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2014,3.0,0,0,2,0,1,0,0,593,3,1,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2015,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2016,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2019,7.0,0,0,0,0,0,0,13,308,2,4,0,0,2
3210,KABUPATEN MAJALENGKA,KAB,2020,5.0,1,0,0,748,0,0,0,160,0,0,0,0,2
3210,KABUPATEN MAJALENGKA,KAB,2021,7.333333333333333,1,0,2,37673,2,3,2,10176,23,34,5,7,0
3210,KABUPATEN MAJALENGKA,KAB,2022,6.0,0,0,0,2359,0,1,1,710,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2023,6.0,0,0,0,28081,0,0,0,1690,8,3,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2024,1.0,0,0,0,7141,0,0,0,2131,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2025,4.0,0,0,0,6810,0,0,0,1079,0,0,0,0,0
3210,KABUPATEN MAJALENGKA,KAB,2026,3.0,0,0,0,3954,0,0,0,929,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2008,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2009,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2010,10.5,0,0,2,0,0,0,0,1117,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2011,2.0,0,0,0,0,0,0,25,110,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2012,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2013,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2015,2.0,0,0,0,840,1,0,0,327,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2016,5.0,0,0,0,1786,3,10,0,198,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2018,1.0,0,0,0,680,0,0,0,136,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2019,2.0,0,0,0,0,0,0,0,295,1,1,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2020,13.0,0,0,0,8558,0,4,10,1277,0,2,0,0,1
3211,KABUPATEN SUMEDANG,KAB,2021,10.0,1,0,1,2967,0,0,0,952,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2022,11.0,2,1,1,12403,10,5,20,2257,0,1,0,0,1
3211,KABUPATEN SUMEDANG,KAB,2023,2.0,0,0,0,221,0,3,0,42,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2024,7.0,1,0,0,4378,1,0,0,845,0,0,0,0,0
3211,KABUPATEN SUMEDANG,KAB,2025,3.0,0,0,0,8663,0,10,0,1663,0,0,0,0,2
3211,KABUPATEN SUMEDANG,KAB,2026,2.0,0,0,0,1905,0,0,0,381,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2008,3.0,0,1,86,0,0,0,0,0,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2009,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2010,5.0,0,0,0,1500,57,0,0,1693,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2011,4.0,1,0,0,3500,0,0,500,8592,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2012,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2013,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
