kode_kemendagri,nama_clean,tipe,tahun,jumlah_banjir
3279,KOTA BANJAR,KOTA,2014,1
3279,KOTA BANJAR,KOTA,2015,0
3279,KOTA BANJAR,KOTA,2016,1
3279,KOTA BANJAR,KOTA,2017,2
3279,KOTA BANJAR,KOTA,2018,0
3279,KOTA BANJAR,KOTA,2019,0
3279,KOTA BANJAR,KOTA,2020,1
3279,KOTA BANJAR,KOTA,2021,1
3279,KOTA BANJAR,KOTA,2022,0
3279,KOTA BANJAR,KOTA,2023,0
3279,KOTA BANJAR,KOTA,2024,0
3279,KOTA BANJAR,KOTA,2025,1
